Image,Cluster
/Users/kater/HauntedImages_8000/haunted_8420.png,2
/Users/kater/HauntedImages_8000/haunted_8421.png,2
/Users/kater/HauntedImages_8000/haunted_8422.png,0
/Users/kater/HauntedImages_8000/haunted_8423.png,0
/Users/kater/HauntedImages_8000/haunted_8424.png,0
/Users/kater/HauntedImages_8000/haunted_8425.png,2
/Users/kater/HauntedImages_8000/haunted_8426.png,0
/Users/kater/HauntedImages_8000/haunted_8427.png,1
/Users/kater/HauntedImages_8000/haunted_8428.png,2
/Users/kater/HauntedImages_8000/haunted_8429.png,1
/Users/kater/HauntedImages_8000/haunted_8430.png,0
/Users/kater/HauntedImages_8000/haunted_8431.png,2
/Users/kater/HauntedImages_8000/haunted_8432.png,0
/Users/kater/HauntedImages_8000/haunted_8433.png,0
/Users/kater/HauntedImages_8000/haunted_8434.png,0
/Users/kater/HauntedImages_8000/haunted_8436.png,0
/Users/kater/HauntedImages_8000/haunted_8437.png,2
/Users/kater/HauntedImages_8000/haunted_8438.png,0
/Users/kater/HauntedImages_8000/haunted_8439.png,2
/Users/kater/HauntedImages_8000/haunted_8440.png,2
/Users/kater/HauntedImages_8000/haunted_8441.png,2
/Users/kater/HauntedImages_8000/haunted_8442.png,0
/Users/kater/HauntedImages_8000/haunted_8443.png,0
/Users/kater/HauntedImages_8000/haunted_8447.png,0
/Users/kater/HauntedImages_8000/haunted_8449.png,2
/Users/kater/HauntedImages_8000/haunted_8450.png,0
/Users/kater/HauntedImages_8000/haunted_8451.png,2
/Users/kater/HauntedImages_8000/haunted_8452.png,2
/Users/kater/HauntedImages_8000/haunted_8453.png,0
/Users/kater/HauntedImages_8000/haunted_8454.png,2
/Users/kater/HauntedImages_8000/haunted_8455.png,1
/Users/kater/HauntedImages_8000/haunted_8456.png,2
/Users/kater/HauntedImages_8000/haunted_8457.png,0
/Users/kater/HauntedImages_8000/haunted_8458.png,0
/Users/kater/HauntedImages_8000/haunted_8459.png,0
/Users/kater/HauntedImages_8000/haunted_8460.png,2
/Users/kater/HauntedImages_8000/haunted_8461.png,0
/Users/kater/HauntedImages_8000/haunted_8462.png,1
/Users/kater/HauntedImages_8000/haunted_8463.png,0
/Users/kater/HauntedImages_8000/haunted_8464.png,2
/Users/kater/HauntedImages_8000/haunted_8465.png,0
/Users/kater/HauntedImages_8000/haunted_8466.png,0
/Users/kater/HauntedImages_8000/haunted_8467.png,2
/Users/kater/HauntedImages_8000/haunted_8468.png,0
/Users/kater/HauntedImages_8000/haunted_8469.png,0
/Users/kater/HauntedImages_8000/haunted_8470.png,0
/Users/kater/HauntedImages_8000/haunted_8471.png,1
/Users/kater/HauntedImages_8000/haunted_8472.png,0
